Sold,Bought,Exchange,Frequency (ms),Enabled?
BTC,ETH,BINANCE,1000,Y
BTC,ETH,OKEX,1000,N
BTC,ETH,BITTREX,1000,N
USDT,BTC,BINANCE,1000,Y
USDT,BTC,OKEX,1000,N
USDT,BTC,BITTREX,1000,N
USDT,ETH,BINANCE,1000,Y
USDT,ETH,OKEX,1000,N
USDT,ETH,BITTREX,1000,N
BTC,BNB,BINANCE,1000,Y
ETH,BNB,BINANCE,1000,Y
USDT,BNB,BINANCE,1000,Y
BNB,LTC,BINANCE,1000,Y
ETH,LTC,BINANCE,1000,Y
BTC,LTC,BINANCE,1000,Y
USDT,LTC,BINANCE,1000,Y
ETH,LTC,OKEX,1000,N
BTC,LTC,OKEX,1000,N
USDT,LTC,OKEX,1000,N
ETH,LTC,BITTREX,1000,N
BTC,LTC,BITTREX,1000,N
USDT,LTC,BITTREX,1000,N
ETH,BCC,BITTREX,1000,N
ETH,XRP,BITTREX,1000,N
BTC,BCC,BITTREX,1000,N
BTC,XRP,BITTREX,1000,N
USDT,BCC,BITTREX,1000,N
USDT,XRP,BITTREX,1000,N
ETH,BCC,BINANCE,1000,Y
ETH,XRP,BINANCE,1000,Y
BTC,BCC,BINANCE,1000,Y
BTC,XRP,BINANCE,1000,Y
USDT,BCC,BINANCE,1000,Y
USDT,XRP,BINANCE,1000,Y
BNB,BCC,BINANCE,1000,Y
ETH,XRP,OKEX,1000,N
BTC,XRP,OKEX,1000,N
USDT,XRP,OKEX,1000,N
KCS,NEO,KUCOIN,70,Y
BTC,KCS,KUCOIN,70,Y
BTC,ETH,KUCOIN,70,Y
BTC,NEO,KUCOIN,70,Y
USDT,ETH,KUCOIN,70,Y
USDT,NEO,KUCOIN,70,Y
USDT,BTC,KUCOIN,70,Y
USDT,KCS,KUCOIN,70,Y
ETH,NEO,KUCOIN,70,Y
ETH,KCS,KUCOIN,70,Y
BTC,LTC,KUCOIN,70,Y
USDT,LTC,KUCOIN,70,Y
KCS,LTC,KUCOIN,70,Y
